LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
149957.5,Honolulu,HI,96813,238220,Corporation,Unanswered,Unanswered,Unanswered,,14,04/16/2020,First Hawaiian Bank,HI-01
149900,Honolulu,HI,96814,541990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17,04/08/2020,First Hawaiian Bank,HI-01
149800,Honolulu,HI,96816,722511,Corporation,Asian,Male Owned,Non-Veteran,,42,04/12/2020,Central Pacific Bank,HI-01
149800,Honolulu,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,27,05/27/2020,"American Savings Bank, FSB",HI-01
149700,Aiea,HI,96701,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,10,04/06/2020,"American Savings Bank, FSB",HI-01
149657,Captain Cook,HI,96704,721110,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/16/2020,Bank of Hawaii,HI-02
149615,Honolulu,HI,96816,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-01
149500,Kailua Kona,HI,96740,487110,Corporation,Unanswered,Unanswered,Unanswered,,18,04/09/2020,First Hawaiian Bank,HI-02
149455,Mililani,HI,96789,238990,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,15,05/08/2020,Bank of Hawaii,HI-01
149400,Honolulu,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,33,04/10/2020,First Hawaiian Bank,HI-01
149400,Honokaa,HI,96727,722310,Corporation,Unanswered,Male Owned,Veteran,,41,04/10/2020,FirstBank,HI-02
149392,Kilauea,HI,96754,722513,Corporation,Unanswered,Unanswered,Unanswered,,0,05/11/2020,Central Pacific Bank,HI-02
149320,Kahului,HI,96732,238220,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,,04/12/2020,Bank of Hawaii,HI-02
149300,Puunene,HI,96784,238990,Corporation,Unanswered,Unanswered,Unanswered,,0,05/08/2020,Central Pacific Bank,HI-02
149300,Lihue,HI,96766,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/06/2020,Central Pacific Bank,HI-02
149200,Honolulu,HI,96814,541512,Corporation,Unanswered,Unanswered,Unanswered,,7,04/07/2020,"American Savings Bank, FSB",HI-01
149100,Lahaina,HI,96761,713990,Corporation,Unanswered,Male Owned,Unanswered,,76,04/13/2020,First Hawaiian Bank,HI-02
149100,Honolulu,HI,96813,541611,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/14/2020,First Hawaiian Bank,HI-01
149000,Kapaa,HI,96746,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/09/2020,First Hawaiian Bank,HI-02
148900,Kamuela,HI,96743,722310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/16/2020,First Hawaiian Bank,HI-02
148900,Hilo,HI,96720,238140,Corporation,Unanswered,Male Owned,Non-Veteran,,17,04/16/2020,First Hawaiian Bank,HI-02
