LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
149957.5,Honolulu,HI,96813,238220.0,Corporation,Unanswered,Unanswered,Unanswered,False,14,2020-04-16,First Hawaiian Bank,HI-01
149900.0,Honolulu,HI,96814,541990.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,True,17,2020-04-08,First Hawaiian Bank,HI-01
149800.0,Honolulu,HI,96816,722511.0,Corporation,Asian,Male Owned,Non-Veteran,False,42,2020-04-12,Central Pacific Bank,HI-01
149800.0,Honolulu,HI,96815,722511.0,Corporation,Unanswered,Unanswered,Unanswered,False,27,2020-05-27,"American Savings Bank, FSB",HI-01
149700.0,Aiea,HI,96701,621111.0,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,False,10,2020-04-06,"American Savings Bank, FSB",HI-01
149500.0,Kailua Kona,HI,96740,487110.0,Corporation,Unanswered,Unanswered,Unanswered,False,18,2020-04-09,First Hawaiian Bank,HI-02
149455.0,Mililani,HI,96789,238990.0,Limited Liability Company(LLC),Unanswered,Male Owned,Unanswered,False,15,2020-05-08,Bank of Hawaii,HI-01
149400.0,Honolulu,HI,96815,722511.0,Corporation,Unanswered,Unanswered,Unanswered,False,33,2020-04-10,First Hawaiian Bank,HI-01
149400.0,Honokaa,HI,96727,722310.0,Corporation,Unanswered,Male Owned,Veteran,False,41,2020-04-10,FirstBank,HI-02
149392.0,Kilauea,HI,96754,722513.0,Corporation,Unanswered,Unanswered,Unanswered,False,0,2020-05-11,Central Pacific Bank,HI-02
149300.0,Puunene,HI,96784,238990.0,Corporation,Unanswered,Unanswered,Unanswered,False,0,2020-05-08,Central Pacific Bank,HI-02
149300.0,Lihue,HI,96766,236220.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,11,2020-04-06,Central Pacific Bank,HI-02
149200.0,Honolulu,HI,96814,541512.0,Corporation,Unanswered,Unanswered,Unanswered,False,7,2020-04-07,"American Savings Bank, FSB",HI-01
149100.0,Lahaina,HI,96761,713990.0,Corporation,Unanswered,Male Owned,Unanswered,False,76,2020-04-13,First Hawaiian Bank,HI-02
149100.0,Honolulu,HI,96813,541611.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,10,2020-04-14,First Hawaiian Bank,HI-01
149000.0,Kapaa,HI,96746,722511.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,26,2020-04-09,First Hawaiian Bank,HI-02
148900.0,Kamuela,HI,96743,722310.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,13,2020-04-16,First Hawaiian Bank,HI-02
148900.0,Hilo,HI,96720,238140.0,Corporation,Unanswered,Male Owned,Non-Veteran,False,17,2020-04-16,First Hawaiian Bank,HI-02
148900.0,Kahului,HI,96732,531390.0,Corporation,Unanswered,Unanswered,Unanswered,False,0,2020-05-07,Central Pacific Bank,HI-02
148900.0,Aiea,HI,96701,238110.0,Corporation,Unanswered,Unanswered,Unanswered,False,13,2020-04-09,Central Pacific Bank,HI-01
148722.0,Honolulu,HI,96819,238220.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,80,2020-04-28,First Hawaiian Bank,HI-01
148700.0,Kapolei,HI,96707,621210.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,13,2020-04-05,Central Pacific Bank,HI-02
148700.0,Honolulu,HI,96816,238350.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,20,2020-04-09,Central Pacific Bank,HI-01
148600.0,Honolulu,HI,96813,611610.0,Corporation,Unanswered,Unanswered,Unanswered,False,42,2020-04-04,First Hawaiian Bank,HI-01
148600.0,Ewa Beach,HI,96706,485999.0,Corporation,Unanswered,Unanswered,Unanswered,False,17,2020-04-06,"American Savings Bank, FSB",HI-01
148600.0,Mountain View,HI,96771,424690.0,Corporation,Unanswered,Unanswered,Unanswered,False,14,2020-04-07,"American Savings Bank, FSB",HI-02
148500.0,Lahaina,HI,96761,561520.0,Corporation,White,Male Owned,Non-Veteran,False,13,2020-04-15,First Hawaiian Bank,HI-02
148500.0,Kailua,HI,96734,444190.0,Corporation,White,Male Owned,Non-Veteran,False,10,2020-04-04,"American Savings Bank, FSB",HI-02
148500.0,Kailua,HI,96734,238210.0,Corporation,Unanswered,Unanswered,Unanswered,False,16,2020-04-14,First Hawaiian Bank,HI-02
148400.0,Honolulu,HI,96814,446120.0,Corporation,Unanswered,Unanswered,Unanswered,False,23,2020-04-15,First Hawaiian Bank,HI-01
148400.0,Honolulu,HI,96814,541211.0,Corporation,Unanswered,Unanswered,Unanswered,False,7,2020-04-07,First Hawaiian Bank,HI-01
148300.0,Pearl City,HI,96782,325199.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,20,2020-04-04,Central Pacific Bank,HI-01
148292.0,Lahaina,HI,96761,722511.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,20,2020-05-07,Bank of Hawaii,HI-02
148200.0,Kapaa,HI,96746,561612.0,Corporation,Asian,Male Owned,Non-Veteran,False,23,2020-04-15,Central Pacific Bank,HI-02
148200.0,Kahului,HI,96732,441320.0,Subchapter S Corporation,Unanswered,Male Owned,Veteran,False,15,2020-04-30,First Hawaiian Bank,HI-02
148100.0,Honolulu,HI,96814,722410.0,Corporation,Unanswered,Unanswered,Unanswered,False,0,2020-05-05,Central Pacific Bank,HI-01
148000.0,Kahului,HI,96732,722513.0,Limited Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,False,28,2020-04-03,"American Savings Bank, FSB",HI-02
148000.0,Honolulu,HI,96814,541310.0,Corporation,Unanswered,Unanswered,Unanswered,False,11,2020-04-09,Central Pacific Bank,HI-01
147972.5,Honolulu,HI,96826,531210.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,13,2020-04-28,First Hawaiian Bank,HI-01
147900.0,Honolulu,HI,96826,541310.0,Limited Liability Company(LLC),Unanswered,Unanswered,Unanswered,False,9,2020-04-05,Central Pacific Bank,HI-01
147800.0,Honolulu,HI,96819,445210.0,Corporation,Unanswered,Unanswered,Unanswered,False,17,2020-04-06,Central Pacific Bank,HI-01
147800.0,Wailuku,HI,96793,541110.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,False,8,2020-04-27,First Hawaiian Bank,HI-02
147700.0,Kailua Kona,HI,96740,561990.0,Limited Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,False,13,2020-04-07,"American Savings Bank, FSB",HI-02
147487.0,Honolulu,HI,96813,213111.0,Corporation,Unanswered,Unanswered,Unanswered,False,7,2020-04-27,First Hawaiian Bank,HI-01
